Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS512G1X0C,WD,Black NVMe PCIe M.2 512GB (2017),116,132,5734,https://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0
SSD,SHPM2280P2/240G,Kingston,HyperX Predator AHCI PCIe M.2 240GB,117,131,3584,https://ssd.userbenchmark.com/SpeedTest/26065/Kingston-SHPM2280P2240G
SSD,SSDPEKKW128G8XT,Intel,760p Series NVMe PCIe M.2 128GB,118,130,514,https://ssd.userbenchmark.com/SpeedTest/446913/INTEL-SSDPEKKW128G8
SSD,KXG50ZNV256G,Toshiba,XG5 NVMe PCIe M.2 256GB,119,129,14086,https://ssd.userbenchmark.com/SpeedTest/358656/KXG50ZNV256G-NVMe-TOSHIBA-256GB
SSD,MZHPU256HCGL,Samsung,XP941 PCIe M.2 256GB,120,129,1608,https://ssd.userbenchmark.com/SpeedTest/4625/SAMSUNG-MZHPU256HCGL-00000
SSD,SSDPEKKW512G7X1,Intel,600p Series NVMe PCIe M.2 512GB,121,128,9398,https://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7
SSD,ASX7000NP-512GT-C,Adata,XPG SX7000 NVMe PCIe M.2 512GB,122,127,1196,https://ssd.userbenchmark.com/SpeedTest/318275/NVMe-ADATA-SX7000NP
SSD,PX-AG256M6e,Plextor,M6e PCIe 256GB,123,127,325,https://ssd.userbenchmark.com/SpeedTest/7265/PLEXTOR-PX-AG256M6e
SSD,PX-128M8PeG,Plextor,M8Pe NVMe PCIe M.2 128GB,124,127,245,https://ssd.userbenchmark.com/SpeedTest/171560/PLEXTOR-PX-128M8PeG
SSD,ASX6000NP-1TT-C,Adata,XPG SX6000 NVMe PCIe M.2 1TB,125,126,70,https://ssd.userbenchmark.com/SpeedTest/471014/ADATA-SX6000NP
SSD,ASX6000NP-512GT-C,Adata,XPG SX6000 NVMe PCIe M.2 512GB,126,123,1255,https://ssd.userbenchmark.com/SpeedTest/410831/ADATA-SX6000NP
SSD,WDS256G1X0C,WD,Black NVMe PCIe M.2 256GB (2017),127,123,10646,https://ssd.userbenchmark.com/SpeedTest/237667/WDC-WDS256G1X0C-00ENX0
SSD,MZHPU512HCGL,Samsung,XP941 PCIe M.2 512GB,128,122,724,https://ssd.userbenchmark.com/SpeedTest/4874/SAMSUNG-MZHPU512HCGL-00000
SSD,,Toshiba, THNSN5512GPUK NVMe PCIe M.2 512GB,129,120,9265,https://ssd.userbenchmark.com/SpeedTest/160272/NVMe-THNSN5512GPUK-NV
SSD,,Samsung,PM951 NVMe PCIe M.2 256GB,130,120,5471,https://ssd.userbenchmark.com/SpeedTest/37673/NVMe-PM951-NVMe-SAMSU
SSD,SSDPEKKF360G7X1,Intel,Pro 6000p NVMe PCIe M.2 360GB,131,118,453,https://ssd.userbenchmark.com/SpeedTest/296966/INTEL-SSDPEKKF360G7H
SSD,SSDPEKKW256G7X1,Intel,600p Series NVMe PCIe M.2 256GB,132,118,26372,https://ssd.userbenchmark.com/SpeedTest/169054/INTEL-SSDPEKKW256G7
SSD,ASX6000NP-256GT-C,Adata,XPG SX6000 NVMe PCIe M.2 256GB,133,118,3024,https://ssd.userbenchmark.com/SpeedTest/387986/ADATA-SX6000NP
SSD,MDNVME80-SBX-0256,MyDigitalSSD,SBX NVMe PCIe M.2 256GB,134,118,98,https://ssd.userbenchmark.com/SpeedTest/456332/SBX
SSD,MZ-76E1T0B,Samsung,860 Evo 1TB,135,117,51028,https://ssd.userbenchmark.com/SpeedTest/423831/Samsung-SSD-860-EVO-1TB
SSD,MZ-75E2T0B,Samsung,850 Evo 2TB,136,116,3052,https://ssd.userbenchmark.com/SpeedTest/32539/Samsung-SSD-850-EVO-2TB
SSD,MZ-76E2T0B,Samsung,860 Evo 2TB,137,116,2130,https://ssd.userbenchmark.com/SpeedTest/430706/Samsung-SSD-860-EVO-2TB
SSD,PX-G256M6e,Plextor,M6e  PCIe M.2 256GB,138,116,873,https://ssd.userbenchmark.com/SpeedTest/12059/PLEXTOR-PX-G256M6e
SSD,ASX8000NP-128GM-C,Adata,XPG SX8000 NVMe PCIe M.2 128GB,139,116,96,https://ssd.userbenchmark.com/SpeedTest/214181/NVMe-ADATA-SX8000NP
SSD,CSSD-F240GBMP300,Corsair,Force MP300 NVMe PCIe M.2 240GB,140,115,704,https://ssd.userbenchmark.com/SpeedTest/538791/NVMe-Force-MP300
SSD,,Samsung,MZFLV512 NVMe PCIe M.2 512GB,141,115,1041,https://ssd.userbenchmark.com/SpeedTest/36829/NVMe-SAMSUNG-MZFLV512
SSD,SSDPEKKF512G7X1,Intel,Pro 6000p NVMe PCIe M.2 512GB,142,115,1035,https://ssd.userbenchmark.com/SpeedTest/289714/INTEL-SSDPEKKF512G7H
SSD,MZ-76P1T0B,Samsung,860 Pro 1TB,143,115,940,https://ssd.userbenchmark.com/SpeedTest/434505/Samsung-SSD-860-PRO-1TB
SSD,PX-AG512M6e,Plextor,M6e PCIe 512GB,144,115,87,https://ssd.userbenchmark.com/SpeedTest/14616/PLEXTOR-PX-AG512M6e
