Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,none,Seagate,ST3750330SV 750GB,392,46.1,85,https://hdd.userbenchmark.com/SpeedTest/10527/ST3750330SV
HDD,none,Hitachi,HDS5C1050CLA382 500GB,393,45.9,1240,https://hdd.userbenchmark.com/SpeedTest/4543/Hitachi-HDS5C1050CLA382
HDD,none,Samsung,MZMPC064HBDR-000 1TB,394,45.9,8,https://hdd.userbenchmark.com/SpeedTest/1769/SAMSUNG-MZMPC064HBDR-000
HDD,none,Seagate,ST1000LM014-SSHD-8GB 1TB,395,45.8,8953,https://hdd.userbenchmark.com/SpeedTest/6737/ST1000LM014-SSHD-8GB
HDD,none,Hitachi,HDT721064SLA360 640GB,397,45.6,1477,https://hdd.userbenchmark.com/SpeedTest/6072/Hitachi-HDT721064SLA360
HDD,none,Seagate,ST500LT032-1E9142 500GB,400,45.5,620,https://hdd.userbenchmark.com/SpeedTest/12252/ST500LT032-1E9142
HDD,none,Seagate,ST3750330AS 750GB,401,45.4,2121,https://hdd.userbenchmark.com/SpeedTest/1776/ST3750330AS
HDD,none,Maxtor,STM3500320AS 500GB,402,45.4,2445,https://hdd.userbenchmark.com/SpeedTest/2192/MAXTOR-STM3500320AS
HDD,none,Seagate,ST500LM000-SSHD-8GB 500GB,403,45.4,5144,https://hdd.userbenchmark.com/SpeedTest/9154/ST500LM000-SSHD-8GB
HDD,none,Seagate,ST3750630AS 750GB,404,45.3,1226,https://hdd.userbenchmark.com/SpeedTest/3071/ST3750630AS
HDD,none,Toshiba,MQ01ABD050 500GB,405,45.2,14093,https://hdd.userbenchmark.com/SpeedTest/924/TOSHIBA-MQ01ABD050
HDD,none,Toshiba,MQ01ABD0 500GB,409,45,225,https://hdd.userbenchmark.com/SpeedTest/11593/TOSHIBA-MQ01ABD0
HDD,none,Hitachi,HTS725050A9A360 500GB,411,44.9,624,https://hdd.userbenchmark.com/SpeedTest/416/Hitachi-HTS725050A9A360
HDD,none,Samsung,HD502HI 500GB,412,44.9,9636,https://hdd.userbenchmark.com/SpeedTest/1270/SAMSUNG-HD502HI
HDD,none,Maxtor,STM31000340AS 1TB,413,44.8,352,https://hdd.userbenchmark.com/SpeedTest/99/MAXTOR-STM31000340AS
HDD,none,Toshiba,MQ01ABF050 500GB,415,44.8,45372,https://hdd.userbenchmark.com/SpeedTest/2789/TOSHIBA-MQ01ABF050
HDD,none,Toshiba,MK3261GSYN 320GB,416,44.7,3368,https://hdd.userbenchmark.com/SpeedTest/30/TOSHIBA-MK3261GSYN
HDD,none,Samsung,HD105SI 1TB,418,44.5,2132,https://hdd.userbenchmark.com/SpeedTest/2699/SAMSUNG-HD105SI
HDD,none,Seagate,ST320LT009-9WC142 320GB,419,44.5,407,https://hdd.userbenchmark.com/SpeedTest/4704/ST320LT009-9WC142
HDD,none,WD,WD8000AARS-00Y5B1 800GB,420,44.5,589,https://hdd.userbenchmark.com/SpeedTest/3653/WDC-WD8000AARS-00Y5B1
HDD,none,Seagate,ST3250312CS 250GB,421,44.5,1167,https://hdd.userbenchmark.com/SpeedTest/3255/ST3250312CS
HDD,none,Samsung,HD161GJ 160GB,422,44.3,6215,https://hdd.userbenchmark.com/SpeedTest/2493/SAMSUNG-HD161GJ
HDD,none,Apple,HDD HTS545050A7E362 500GB,423,44.3,1199,https://hdd.userbenchmark.com/SpeedTest/7208/APPLE-HDD-HTS545050A7E362
HDD,none,Seagate,FreeAgent XTreme 1TB,425,44.2,37,https://hdd.userbenchmark.com/SpeedTest/2882/Seagate-FreeAgent-XTreme
HDD,none,WD,WD3200AVJS-63WDA0 320GB,429,44.1,2781,https://hdd.userbenchmark.com/SpeedTest/11043/WDC-WD3200AVJS-63WDA0
HDD,none,Hitachi,HDT721032SLA360 320GB,430,44.1,1912,https://hdd.userbenchmark.com/SpeedTest/3078/Hitachi-HDT721032SLA360
HDD,none,Seagate,ST3160813AS 160GB,431,44.1,2262,https://hdd.userbenchmark.com/SpeedTest/2850/ST3160813AS
HDD,none,Seagate,ST3320418AS 320GB,432,44,11571,https://hdd.userbenchmark.com/SpeedTest/168/ST3320418AS
HDD,none,Hitachi,HTS541010A9 1TB,433,44,177,https://hdd.userbenchmark.com/SpeedTest/6753/HGST-HTS541010A9
HDD,none,Samsung,HD502IJ 500GB,434,43.9,12949,https://hdd.userbenchmark.com/SpeedTest/111/SAMSUNG-HD502IJ
HDD,none,WD,WD10EADX-00TDHB0 1TB,435,43.9,4843,https://hdd.userbenchmark.com/SpeedTest/1049/WDC-WD10EADX-00TDHB0
HDD,none,Toshiba,MK5061GSY 500GB,438,43.9,1279,https://hdd.userbenchmark.com/SpeedTest/2829/TOSHIBA-MK5061GSY
HDD,none,Toshiba,MK2556GSY 250GB,442,43.7,645,https://hdd.userbenchmark.com/SpeedTest/4588/TOSHIBA-MK2556GSY
HDD,none,Samsung,HD503HI 500GB,444,43.6,2770,https://hdd.userbenchmark.com/SpeedTest/4359/SAMSUNG-HD503HI
HDD,none,Hitachi,HDT721032SLA380 320GB,448,43.6,1906,https://hdd.userbenchmark.com/SpeedTest/4609/Hitachi-HDT721032SLA380
HDD,none,Hitachi,HTS725032A9A360 320GB,449,43.6,320,https://hdd.userbenchmark.com/SpeedTest/5927/Hitachi-HTS725032A9A360
HDD,none,WD,WD10EURS-630AB1 1TB,450,43.5,1194,https://hdd.userbenchmark.com/SpeedTest/5849/WDC-WD10EURS-630AB1
HDD,none,Hitachi,HTS725032A7E630 320GB,451,43.5,4244,https://hdd.userbenchmark.com/SpeedTest/5008/HGST-HTS725032A7E630
HDD,none,Toshiba,MK7559GSXF 750GB,452,43.5,607,https://hdd.userbenchmark.com/SpeedTest/2028/TOSHIBA-MK7559GSXF
HDD,none,Seagate,ST500LX012-SSHD-8GB 500GB,454,43.2,561,https://hdd.userbenchmark.com/SpeedTest/12260/ST500LX012-SSHD-8GB
HDD,none,WD,WD15EVDS-73V9B1 1.5TB,457,43,786,https://hdd.userbenchmark.com/SpeedTest/6540/WDC-WD15EVDS-73V9B1
HDD,none,Hitachi,HTS545050A7E3800 500GB,458,42.9,346,https://hdd.userbenchmark.com/SpeedTest/6179/HGST-HTS545050A7E3800
HDD,none,Seagate,ST31500541AS 1.5TB,459,42.9,3869,https://hdd.userbenchmark.com/SpeedTest/667/ST31500541AS
HDD,none,Samsung,HD252HJ 250GB,460,42.9,2653,https://hdd.userbenchmark.com/SpeedTest/2959/SAMSUNG-HD252HJ
HDD,none,Seagate,ST500LM0 ST500LM012 HN-M5 500GB,461,42.8,121,https://hdd.userbenchmark.com/SpeedTest/9065/ST500LM0-ST500LM012-HN-M5
HDD,none,Hitachi,HDT721032SLA 320GB,462,42.7,350,https://hdd.userbenchmark.com/SpeedTest/6947/Hitachi-HDT721032SLA
HDD,none,WD,WD10JPCX-24UE4T0 1TB,464,42.7,18158,https://hdd.userbenchmark.com/SpeedTest/11224/WDC-WD10JPCX-24UE4T0
HDD,none,Toshiba,MQ01ABD075 750GB,465,42.6,19649,https://hdd.userbenchmark.com/SpeedTest/869/TOSHIBA-MQ01ABD075
HDD,none,Samsung,HD250HJ 250GB,466,42.6,4977,https://hdd.userbenchmark.com/SpeedTest/2247/SAMSUNG-HD250HJ
HDD,none,WD,WD75 00AARS-00Y5B 750GB,468,42.5,1255,https://hdd.userbenchmark.com/SpeedTest/1693/WDC-WD75-00AARS-00Y5B
HDD,none,Hitachi,HTS725025A9A364 250GB,469,42.5,1150,https://hdd.userbenchmark.com/SpeedTest/6783/Hitachi-HTS725025A9A364
HDD,none,Toshiba,MQ01ABD064 640GB,470,42.4,236,https://hdd.userbenchmark.com/SpeedTest/8271/TOSHIBA-MQ01ABD064
HDD,none,Seagate,ST3250410AS 250GB,472,42.4,12277,https://hdd.userbenchmark.com/SpeedTest/456/ST3250410AS
HDD,none,Toshiba,MK5056GSY 500GB,474,42.3,1476,https://hdd.userbenchmark.com/SpeedTest/2645/TOSHIBA-MK5056GSY
HDD,none,Samsung,HD103UI 1TB,476,42.3,758,https://hdd.userbenchmark.com/SpeedTest/5608/SAMSUNG-HD103UI
HDD,none,Seagate,ST500LM011 HM501II 500GB,478,42.3,62,https://hdd.userbenchmark.com/SpeedTest/12328/ST500LM011-HM501II
HDD,none,Hitachi,HTS725050A9A364 500GB,480,42.1,3587,https://hdd.userbenchmark.com/SpeedTest/1690/Hitachi-HTS725050A9A364
