Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,none,Intel,Core i3-2350M,706,28.6,11427,https://cpu.userbenchmark.com/SpeedTest/934/IntelR-CoreTM-i3-2350M-CPU---230GHz
CPU,none,Intel,Celeron G540,707,28.6,742,https://cpu.userbenchmark.com/SpeedTest/5981/IntelR-CeleronR-CPU-G540---250GHz
CPU,none,Intel,Celeron N3450,708,28.5,2548,https://cpu.userbenchmark.com/SpeedTest/208922/IntelR-CeleronR-CPU-N3450---110GHz
CPU,none,AMD,A9-9430 APU (2016 M.SR),709,28.5,296,https://cpu.userbenchmark.com/SpeedTest/303175/AMD-A9-9430-RADEON-R5-5-COMPUTE-CORES-2C-3G
CPU,none,Intel,Core M-5Y10c,710,28.5,1611,https://cpu.userbenchmark.com/SpeedTest/23759/IntelR-CoreTM-M-5Y10c-CPU---080GHz
CPU,none,Intel,Pentium 2020M,711,28.5,4102,https://cpu.userbenchmark.com/SpeedTest/1723/IntelR-PentiumR-CPU-2020M---240GHz
CPU,none,AMD,Phenom II X2 565,712,28.5,185,https://cpu.userbenchmark.com/SpeedTest/2173/AMD-Phenomtm-II-X2-565-Processor
CPU,none,AMD,A6-7400K APU (2014 D.Ka),713,28.4,3546,https://cpu.userbenchmark.com/SpeedTest/16549/AMD-A6-7400K-Radeon-R5-6-Compute-Cores-2C-4G
CPU,none,AMD,A10-4600M APU,714,28.4,2721,https://cpu.userbenchmark.com/SpeedTest/1051/AMD-A10-4600M-APU-with-Radeontm-HD-Graphics
CPU,none,AMD,Phenom 9600,715,28.3,587,https://cpu.userbenchmark.com/SpeedTest/7248/AMD-Phenomtm-9600-Quad-Core-Processor
CPU,none,Intel,Core i7 Q 720,716,28.3,8707,https://cpu.userbenchmark.com/SpeedTest/140/IntelR-CoreTM-i7-CPU-------Q-720----160GHz
CPU,none,AMD,Athlon II X3 425,717,28.3,758,https://cpu.userbenchmark.com/SpeedTest/2178/AMD-Athlontm-II-X3-425-Processor
CPU,none,AMD,A6-6400K APU,718,28.2,6688,https://cpu.userbenchmark.com/SpeedTest/3048/AMD-A6-6400K-APU-with-Radeontm-HD-Graphics
CPU,none,AMD,A10-5757M APU,719,28.1,737,https://cpu.userbenchmark.com/SpeedTest/7160/AMD-A10-5757M-APU-with-Radeontm-HD-Graphics
CPU,none,AMD,Phenom 9550,720,27.9,1585,https://cpu.userbenchmark.com/SpeedTest/2319/AMD-Phenomtm-9550-Quad-Core-Processor
CPU,none,Intel,Core i3-2330M,721,27.9,8500,https://cpu.userbenchmark.com/SpeedTest/1853/IntelR-CoreTM-i3-2330M-CPU---220GHz
CPU,none,AMD,Phenom II X3 710,722,27.8,546,https://cpu.userbenchmark.com/SpeedTest/2275/AMD-Phenomtm-II-X3-710-Processor
CPU,none,AMD,Athlon II X2 270,723,27.7,3016,https://cpu.userbenchmark.com/SpeedTest/1939/AMD-Athlontm-II-X2-270-Processor
CPU,none,Intel,Core i3 M 370,724,27.7,10748,https://cpu.userbenchmark.com/SpeedTest/259/IntelR-CoreTM-i3-CPU-------M-370----240GHz
CPU,none,Intel,Pentium II processor,725,27.7,32,https://cpu.userbenchmark.com/SpeedTest/167/Intel-Pentium-II-processor
